"name","state","year","sbprim","sbsec","bac08","pbt","admin","txt","hha","hhlearn","intlck1","intlck15","intlck2","mlda21","totpop","avgage","pcinc","income","lim70","totfat","occfat","noccfat","milrur","milurb","vmtrur","vmturb","fueltax","laborfrc2","emp2","unemp2","unemprte","vcrimetot","pcrimetot","vcrimerte","pcrimerte","rurdense","urbdense","fatalities_per_100k","occfat_per_100k","noccfat_per_100k","log_totfat","log_pop","total_vmt","first_year_lim70","rel_year","lead_6_plus","lead_5","lead_4","lead_3","lead_2","lag_0","lag_1","lag_2","lag_3","lag_4","lag_5","lag_6_plus"
"Alabama","AL",1999,0,1,1,0,1,0,0,0,0,0,0,1,4369862,36.4284706115723,23493,104075226,1,1138,1049,89,73589,20657,28799,27366,18,2145000,2043000,102000,4.80000019073486,21421,171398,490.200012207031,3922.30004882812,0.391349256038666,1.32478094100952,26.0420123106862,24.0053347222407,2.03667758844558,7.03702761468628,15.2902419876258,56165,1995,4,0,0,0,0,0,0,0,0,0,1,0,0
"Alabama","AL",2000,1,0,1,0,1,0,0,0,0,0,0,1,4452173,36.3498458862305,24628,109650210,1,996,925,71,73639,20672,28873,27661,18,2154000,2055000,99000,4.59999990463257,21620,180539,486.200012207031,4059.69995117188,0.392088443040848,1.33809018135071,22.3710983378229,20.7763714482793,1.5947268895436,6.9037472575846,15.3089028495624,56534,1995,5,0,0,0,0,0,0,0,0,0,0,1,0
"Alabama","AL",1986,0,0,0,0,0,0,0,0,0,0,0,1,3991562,34.7606735229492,12179,48611751,0,1081,960,121,73337,14642,18554,15449,13,NA,NA,NA,9.82999992370605,22616,151191,558,3730.30004882812,0.252996444702148,1.05511546134949,27.0821297527133,24.0507350255364,3.03139472717698,6.98564181763921,15.199693190955,34003,1995,-9,1,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",1987,0,0,0,0,0,0,0,0,0,0,0,1,4015257,34.9556579589844,12819,51473139,0,1111,1020,91,73493,14673,20133,17293,13,NA,NA,NA,7.76999998092651,22833,158918,559.200012207031,3892.19995117188,0.273944467306137,1.17855930328369,27.6694617554991,25.4031062021684,2.26635555333071,7.01301578963963,15.2056119132771,37426,1995,-8,1,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",1988,0,0,0,0,0,0,0,0,0,0,0,1,4023848,35.1369552612305,13759,55363180,0,1024,897,127,73574,16844,20937,18747,13,NA,NA,NA,7.21000003814697,23052,165209,558.599975585938,4003.10009765625,0.284570634365082,1.11297786235809,25.4482773703182,22.2920945323978,3.15618283792032,6.93147180559945,15.2077492166884,39684,1995,-7,1,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",1992,0,1,0,0,0,0,0,0,0,0,0,1,4137553,35.8326187133789,17525,72797037,0,1031,935,96,72835,19366,22803,22959,18,NA,NA,NA,7.42000007629395,36052,181837,871.700012207031,4396.39990234375,0.313077509403229,1.18553137779236,24.9181098103154,22.5978978396168,2.32021197069862,6.93828448401696,15.2356151082531,45762,1995,-3,0,0,0,1,0,0,0,0,0,0,0,0
"Alabama","AL",1985,0,0,0,0,0,0,0,0,0,0,0,1,3972520,34.6025695800781,11562,45929741,0,882,773,109,73260,14528,17453,17638,13,NA,NA,NA,8.88000011444092,18398,140115,457.5,3484.60009765625,0.238233685493469,1.21406936645508,22.2025313906538,19.4586811394279,2.74385025122592,6.78219205600679,15.1949112119933,35091,1995,-10,1,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",1997,0,1,1,0,0,0,0,0,0,0,0,1,4322113,36.5007209777832,21448,93684207,1,1192,1095,97,73231,20127,27047,26411,18,NA,NA,NA,5.07000017166138,24379,186809,564.5,4325.2998046875,0.369338124990463,1.31221747398376,27.579103091474,25.3348304405739,2.24427265090015,7.0833878476253,15.2792549610103,53458,1995,2,0,0,0,0,0,0,0,1,0,0,0,0
"Alabama","AL",1998,0,1,1,0,1,0,0,0,0,0,0,1,4351037,36.2338943481445,22732,100128887,1,1071,986,85,73598,20630,28022,27183,18,2142514,2059312,83202,3.88338184356689,22286,177779,512.099975585938,4085,0.38074404001236,1.31764423847198,24.6148217080204,22.6612644296061,1.95355727841432,6.97634807044775,15.2859247654589,55205,1995,3,0,0,0,0,0,0,0,0,1,0,0,0
"Alabama","AL",2008,1,0,1,0,1,0,0,0,0,0,0,1,4718206,37.5002098083496,33701,159009262,1,969,891,78,75390,21935,28885,30418,18,2184000,2061000,123000,5.59999990463257,21110,190416,452.799987792969,4084.5,0.38314101099968,1.3867335319519,20.5374669948705,18.8842962770172,1.65317071785335,6.87626461189077,15.3669392005655,59303,1995,13,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",2012,1,0,1,0,1,1,0,1,0,0,0,1,4802045,38.2536125183105,35926,173236230,1,865,779,86,76620,25191,30185,34774,18,2176000,2001000,175000,8,21693,168878,449.899993896484,3502.19995117188,0.393957197666168,1.38041365146637,18.0131589770608,16.2222553099773,1.7909036670835,6.76272950693188,15.3845524268148,64959,1995,17,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",1984,0,0,0,0,0,0,0,0,0,0,0,0,3951826,34.421630859375,10789,42636213,0,932,820,112,73231,14329,17216,15745,13,NA,NA,NA,11.1700000762939,17204,138487,431.200012207031,3470.89990234375,0.23509170114994,1.09882056713104,23.5840343173004,20.7499014379682,2.83413287933224,6.83733281468559,15.1896883085405,32961,1995,-11,1,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",2007,1,0,1,0,1,0,0,0,0,0,0,1,4672840,37.3681602478027,32765,153104016,1,1110,1030,80,75300,22023,29793,31617,18,2183000,2096000,87000,4,20775,184082,448.899993896484,3977.69995117188,0.395657360553741,1.43563544750214,23.7542907525188,22.0422697973823,1.71202095513649,7.01211529430638,15.3572775818497,61410,1995,12,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",2011,1,0,1,0,1,1,0,1,0,0,0,1,4786486,38.0406799316406,34929,167786623,1,895,807,88,76416,25252,30358,34556,18,2224000,2006000,218000,9.80000019073486,20166,173192,419.799987792969,3605.39990234375,0.397272825241089,1.36844611167908,18.6984773380722,16.8599678344405,1.83850950363168,6.79682371827486,15.3813070884713,64914,1995,16,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",1996,0,1,1,0,0,0,0,0,0,0,0,1,4291110,36.3851318359375,20537,88949009,1,1146,1054,92,73224,20116,25865,25568,18,NA,NA,NA,5.11999988555908,24159,181803,565.400024414062,4254.7001953125,0.353231191635132,1.2710280418396,26.7063766717702,24.5624092600749,2.14396741169534,7.04403289727469,15.2720559986952,51433,1995,1,0,0,0,0,0,0,1,0,0,0,0,0
"Alabama","AL",1993,0,1,0,0,0,0,0,0,0,0,0,1,4191879,35.9482536315918,18070,76150809,0,1044,956,88,72828,19381,23619,23718,18,NA,NA,NA,7.61999988555908,32676,171598,780.400024414062,4098.39990234375,0.324312090873718,1.22377586364746,24.9052990317707,22.8060017953763,2.09929723639447,6.95081476844258,15.2486596400626,47337,1995,-2,0,0,0,0,1,0,0,0,0,0,0,0
"Alabama","AL",2010,1,0,1,0,1,1,0,1,0,0,0,1,4785298,37.8163375854492,33905,162228293,1,862,794,68,76384,25190,30569,33596,18,2180000,1952000,228000,10.5,18363,168828,383.700012207031,3528,0.400201618671417,1.33370387554169,18.013507204776,16.5924880749328,1.42101912984312,6.75925527066369,15.3810588588819,64165,1995,15,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",1995,0,1,1,0,0,0,0,0,0,0,0,1,4270460,36.2057456970215,19843,85261242,1,1114,1033,81,73227,20086,25698,24930,18,NA,NA,NA,6.28000020980835,26894,179294,632.400024414062,4215.7001953125,0.350936144590378,1.2411630153656,26.086182753146,24.1894315834828,1.89675116966322,7.01571242048723,15.2672321077398,50628,1995,0,0,0,0,0,0,1,0,0,0,0,0,0
"Alabama","AL",1990,0,0,0,0,0,0,0,0,0,0,0,1,4048378,35.6229248046875,15810,64030925,0,1121,1011,110,73818,16854,22586,19761,13,NA,NA,NA,6.86999988555908,28630,169974,708.599975585938,4206.7001953125,0.305968731641769,1.17248129844666,27.6901020606277,24.9729644810835,2.7171375795442,7.02197642307216,15.2138268650365,42347,1995,-5,0,1,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",1983,0,0,0,0,0,0,0,0,0,0,0,0,3934103,34.2006454467773,9852,38757480,0,930,808,122,73607,13991,16415,14617,11,NA,NA,NA,13.6400003433228,16471,145890,416,3685,0.223008677363396,1.04474306106567,23.6394420786644,20.5383539780224,3.101088100642,6.8351845861473,15.1851934595914,31032,1995,-12,1,0,0,0,0,0,0,0,0,0,0,0
