country,scode,ccode,year,polity,polity2,democ,autoc,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,change,d5,sf
Myanmar (Burma),MYA,775,2000,-5,-5.0,0,5,10.0,1,0,0,2,4,2,,,
Myanmar (Burma),MYA,775,2001,-5,-5.0,0,5,11.0,1,0,0,2,4,2,,,
Myanmar (Burma),MYA,775,2002,-5,-5.0,0,5,12.0,1,0,0,2,4,2,,,
Myanmar (Burma),MYA,775,2003,-5,-5.0,0,5,13.0,1,0,0,2,4,2,,,
Myanmar (Burma),MYA,775,2004,-6,-6.0,0,6,14.0,1,0,0,1,4,2,-1.0,1.0,
Myanmar (Burma),MYA,775,2005,-6,-6.0,0,6,15.0,1,0,0,1,4,2,,,
Myanmar (Burma),MYA,775,2006,-6,-6.0,0,6,16.0,1,0,0,1,4,2,,,
Myanmar (Burma),MYA,775,2007,-6,-6.0,0,6,17.0,1,0,0,1,4,2,,,
Myanmar (Burma),MYA,775,2008,-6,-6.0,0,6,18.0,2,0,0,2,4,1,0.0,1.0,
Myanmar (Burma),MYA,775,2009,-6,-6.0,0,6,19.0,2,0,0,2,4,1,,,
Myanmar (Burma),MYA,775,2010,-6,-6.0,0,6,20.0,2,0,0,2,4,1,,,
Myanmar (Burma),MYA,775,2011,-3,-3.0,0,3,0.0,2,0,0,3,3,2,3.0,1.0,
Myanmar (Burma),MYA,775,2012,-3,-3.0,0,3,1.0,2,0,0,3,3,2,,,
Myanmar (Burma),MYA,775,2013,-3,-3.0,0,3,2.0,2,0,0,3,3,2,,,
Myanmar (Burma),MYA,775,2014,-3,-3.0,0,3,3.0,2,0,0,3,3,2,,,
Myanmar (Burma),MYA,775,2015,-88,2.0,-88,-88,0.0,-88,-88,-88,-88,-88,-88,-88.0,,
Myanmar (Burma),MYA,775,2016,8,8.0,8,0,0.0,2,2,4,7,2,4,11.0,1.0,
Myanmar (Burma),MYA,775,2017,8,8.0,8,0,1.0,2,2,4,7,2,4,,,
Myanmar (Burma),MYA,775,2018,8,8.0,8,0,2.0,2,2,4,7,2,4,,,
