term,estimate,std.error,statistic,p.value,leadlag
"relevel(factor(leadlag), ref = ""-1"")-5",-0.8965875005479499,60.48429188378244,-0.014823476850331623,0.9881807283899,-5
"relevel(factor(leadlag), ref = ""-1"")-4",19.19576633630012,59.65087018173873,0.3218019498762758,0.7477782961494928,-4
"relevel(factor(leadlag), ref = ""-1"")-3",13.993490043231661,59.262261027531686,0.23612818344427755,0.8134594276387126,-3
"relevel(factor(leadlag), ref = ""-1"")-2",1.4335930017679372,59.26226102753156,0.024190656531007663,0.9807131293090228,-2
"relevel(factor(leadlag), ref = ""-1"")0",-5.669695357503114,59.26226102753156,-0.09567126294538669,0.9238317017856574,0
"relevel(factor(leadlag), ref = ""-1"")1",-38.74848029770961,59.262261027531615,-0.6538474844844029,0.5136024441993974,1
"relevel(factor(leadlag), ref = ""-1"")2",-34.67344924943303,59.650870181738775,-0.5812731506479815,0.5613982886628097,2
"relevel(factor(leadlag), ref = ""-1"")3",-2.919262807537893,62.41908591438172,-0.04676875293467375,0.9627219096609643,3
"relevel(factor(leadlag), ref = ""-1"")4",10.913023380037489,63.55169485867065,0.1717188409263734,0.8637492655433681,4
"relevel(factor(leadlag), ref = ""-1"")5",11.917740748409768,67.04759462562379,0.17775045943042866,0.8590129265698975,5
