leadlag,mean_residual,se,n,ci_low,ci_high
-5,2.3432117921283138,54.78929935858833,36,-105.04381495070481,109.73023853496144
-4,22.435565628976455,36.83663647372322,38,-49.76424185952104,94.63537311747396
-3,17.233289335907955,26.49877635232487,39,-34.70431231464879,69.1708909864647
-2,4.673392294444225,25.21055434647933,39,-44.73929422465526,54.086078813543715
-1,3.23979929267615,27.433856639856845,39,-50.53055972144326,57.01015830679557
0,-2.4298960648267904,32.53261011831789,39,-66.193811896729855,61.33401976707627
1,-35.508681005033274,28.623255101293754,39,-91.61026100356904,20.59289899350248
2,-31.433649956756724,26.197611702236077,38,-82.78096889313943,19.91366897962599
3,0.3205364851383683,44.35105082730308,32,-86.60752313637566,87.24859610665239
4,14.152822672713796,80.51890257237862,30,-143.6642263691483,171.9698717145759
5,15.157540041086092,100.84599783458063,25,-182.50061571469195,212.81569579686413
