country,year,pol_lib,bigimp,wb_name,iso3,gdp_pc_constant_usd,population,country_id,year_factor,event_year,leadlag,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998
Angola,1985,0,0,Angola,AGO,2896.78303600758,9779120,1,1985,1992,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1986,0,0,Angola,AGO,2874.86018427609,10139450,1,1986,1992,-6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1987,0,0,Angola,AGO,2890.07547573739,10497858,1,1987,1992,-5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Angola,1988,0,0,Angola,AGO,2964.572344914,10861291,1,1988,1992,-4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Angola,1989,0,0,Angola,AGO,2866.24611384236,11238562,1,1989,1992,-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Angola,1990,0,0,Angola,AGO,2675.05239370666,11626360,1,1990,1992,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Angola,1991,1,0,Angola,AGO,2612.33170523819,12023529,1,1991,1992,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Angola,1992,3,1,Angola,AGO,2380.58274213388,12423712,1,1992,1992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Angola,1993,0,0,Angola,AGO,1752.72318662558,12827135,1,1993,1992,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Angola,1994,2,0,Angola,AGO,1719.54294465223,13249764,1,1994,1992,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Angola,1995,0,0,Angola,AGO,1912.51777523397,13699778,1,1995,1992,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angola,1996,0,0,Angola,AGO,2099.3504538481902,14170973,1,1996,1992,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Angola,1997,0,0,Angola,AGO,2176.87757986492,14660413,1,1997,1992,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Angola,1998,0,0,Angola,AGO,2203.98692701325,15159370,1,1998,1992,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Benin,1985,0,0,Benin,BEN,791.727164830118,4538012,2,1985,1991,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1986,0,0,Benin,BEN,785.143070110497,4675420,2,1986,1991,-5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1987,0,0,Benin,BEN,750.403840602099,4818486,2,1987,1991,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Benin,1988,0,0,Benin,BEN,752.704034985609,4967341,2,1988,1991,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Benin,1989,0,0,Benin,BEN,709.188907710243,5121657,2,1989,1991,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benin,1990,2,0,Benin,BEN,749.459666582926,5281479,2,1990,1991,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Benin,1991,4,1,Benin,BEN,757.403145107877,5446932,2,1991,1991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benin,1992,4,0,Benin,BEN,756.080888165851,5617844,2,1992,1991,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Benin,1993,4,0,Benin,BEN,765.479914438342,5872706,2,1993,1991,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Benin,1994,4,0,Benin,BEN,752.277508740764,6096506,2,1994,1991,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benin,1995,4,0,Benin,BEN,781.0647884601,6226773,2,1995,1991,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Benin,1996,4,0,Benin,BEN,793.7950526962,6391858,2,1996,1991,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Benin,1997,4,0,Benin,BEN,814.901395438676,6583365,2,1997,1991,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Benin,1998,0,0,Benin,BEN,821.459971433599,6789489,2,1998,1991,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Botswana,1985,4,0,Botswana,BWA,2693.78188151685,1121945,3,1985,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,1986,4,0,Botswana,BWA,2816.7693715823,1160650,3,1986,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,1987,4,0,Botswana,BWA,3050.23176245012,1199167,3,1987,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Botswana,1988,4,0,Botswana,BWA,3536.42325387877,1235476,3,1988,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Botswana,1989,4,0,Botswana,BWA,3888.73045113925,1270274,3,1989,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Botswana,1990,4,0,Botswana,BWA,4039.46544455099,1305696,3,1990,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Botswana,1991,4,0,Botswana,BWA,4224.09857544948,1341756,3,1991,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Botswana,1992,4,0,Botswana,BWA,4226.73999498293,1380033,3,1992,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Botswana,1993,4,0,Botswana,BWA,4186.14547358363,1420115,3,1993,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Botswana,1994,4,0,Botswana,BWA,4219.4408088678,1460023,3,1994,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Botswana,1995,4,0,Botswana,BWA,4399.1388580936,1498836,3,1995,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Botswana,1996,4,0,Botswana,BWA,4543.2105349273,1535914,3,1996,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Botswana,1997,4,0,Botswana,BWA,4809.4439184672,1571691,3,1997,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Botswana,1998,4,0,Botswana,BWA,4724.93670942028,1606899,3,1998,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burkina Faso,1985,0,0,Burkina Faso,BFA,328.715164630481,7999935,4,1985,1991,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,1986,0,0,Burkina Faso,BFA,344.993912306641,8228847,4,1986,1991,-5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,1987,0,0,Burkina Faso,BFA,334.888996959212,8457109,4,1987,1991,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,1988,0,0,Burkina Faso,BFA,344.904464201203,8687435,4,1988,1991,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Burkina Faso,1989,0,0,Burkina Faso,BFA,343.089820260752,8921175,4,1989,1991,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Burkina Faso,1990,1,0,Burkina Faso,BFA,332.153276660935,9159356,4,1990,1991,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Burkina Faso,1991,3,1,Burkina Faso,BFA,353.206720757378,9394632,4,1991,1991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Burkina Faso,1992,3,0,Burkina Faso,BFA,345.401816823349,9629275,4,1992,1991,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Burkina Faso,1993,3,0,Burkina Faso,BFA,348.581211032689,9871713,4,1993,1991,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Burkina Faso,1994,3,0,Burkina Faso,BFA,344.371184069503,10123798,4,1994,1991,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Burkina Faso,1995,3,0,Burkina Faso,BFA,354.841188502861,10386722,4,1995,1991,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Burkina Faso,1996,3,0,Burkina Faso,BFA,383.973583031147,10655942,4,1996,1991,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Burkina Faso,1997,3,0,Burkina Faso,BFA,397.838955257373,10934223,4,1997,1991,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Burkina Faso,1998,3,0,Burkina Faso,BFA,415.273513470241,11240664,4,1998,1991,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burundi,1985,0,0,Burundi,BDI,345.163854234518,5034042,5,1985,1993,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,1986,0,0,Burundi,BDI,349.756030266147,5129414,5,1986,1993,-7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,1987,0,0,Burundi,BDI,360.679923797347,5247787,5,1987,1993,-6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Burundi,1988,0,0,Burundi,BDI,370.526755664209,5365327,5,1988,1993,-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
